half,minutes,seconds,play_type,team,first_name,last_name,davidson_score,opponent_score
1,5,41,GOOD LAYUP,Davidson,HUFFMAN,GRANT,24,23
1,5,18,MISS JUMPER,Charlotte,PATTERSON,LU'CYE,24,23
1,5,15,REBOUND OFF,Charlotte,GRAVES,NIK,24,23
1,5,4,MISS 3PTR,Charlotte,MILICIC JR.,IGOR,24,23
1,4,59,REBOUND OFF,Charlotte,NIAGU,IAROSLAV,24,23
1,4,59,FOUL,Davidson,BAILEY,REED,24,23
1,4,59,MISS FT,Charlotte,GRAVES,NIK,24,23
1,4,59,REBOUND DEADB,Charlotte,,,24,23
1,4,59,SUB OUT,Davidson,SPADONE,ACHILE,24,23
1,4,59,SUB IN,Davidson,KOCHERA,CONNOR,24,23
1,4,59,GOOD FT,Charlotte,GRAVES,NIK,24,24
1,4,29,MISS LAYUP,Davidson,BAILEY,REED,24,24
1,4,29,BLOCK,Charlotte,GRAVES,NIK,24,24
1,4,29,REBOUND OFF,Davidson,BAILEY,REED,24,24
1,4,29,TURNOVER,Davidson,,,24,24
1,4,29,SUB OUT,Davidson,ADAM,HUNTER,24,24
1,4,29,SUB IN,Davidson,LOGAN,SEAN,24,24
1,4,14,MISS 3PTR,Charlotte,GRAVES,NIK,24,24
1,4,10,REBOUND DEF,Davidson,DURKIN,BOBBY,24,24
1,3,57,MISS 3PTR,Davidson,KOCHERA,CONNOR,24,24
1,3,54,REBOUND DEF,Charlotte,NIAGU,IAROSLAV,24,24
1,3,45,TURNOVER,Charlotte,NIAGU,IAROSLAV,24,24
1,3,45,Timeout,Davidson,,,24,24
1,3,45,SUB OUT,Davidson,DURKIN,BOBBY,24,24
1,3,45,SUB IN,Davidson,BRIZZI,ANGELO,24,24
1,3,32,GOOD JUMPER,Davidson,BAILEY,REED,26,24
1,3,6,FOUL,Davidson,BAILEY,REED,26,24
1,3,6,GOOD FT,Charlotte,NIAGU,IAROSLAV,26,25
1,3,6,SUB OUT,Davidson,BAILEY,REED,26,25
1,3,6,SUB IN,Davidson,SKOGMAN,DAVID,26,25
1,3,6,GOOD FT,Charlotte,NIAGU,IAROSLAV,26,26
1,2,43,TURNOVER,Davidson,BRIZZI,ANGELO,26,26
1,2,43,STEAL,Charlotte,PATTERSON,LU'CYE,26,26
1,2,36,GOOD LAYUP,Charlotte,GRAVES,NIK,26,28
1,2,32,SUB OUT,Davidson,BRIZZI,ANGELO,26,28
1,2,32,SUB IN,Davidson,DURKIN,BOBBY,26,28
1,2,21,GOOD LAYUP,Davidson,KOCHERA,CONNOR,28,28
1,2,21,ASSIST,Davidson,HUFFMAN,GRANT,28,28
1,2,4,TURNOVER,Charlotte,THREADGILL,JACKSON,28,28
1,2,4,STEAL,Davidson,HUFFMAN,GRANT,28,28
1,1,40,FOUL,Charlotte,NIAGU,IAROSLAV,28,28
1,1,40,SUB OUT,Charlotte,NIAGU,IAROSLAV,28,28
1,1,40,SUB IN,Charlotte,JACKSON,DISHON,28,28
1,1,33,GOOD 3PTR,Davidson,KOCHERA,CONNOR,31,28
